inventory_id,product_id,warehouse_id,stock_quantity,reorder_level,last_updated
1,1,1,1,93,2026-02-25
2,1,2,146,89,2026-02-28
3,1,3,200,33,2026-02-15
4,1,4,278,91,2026-03-11
5,1,5,158,29,2026-02-12
6,2,1,499,61,2026-03-12
7,2,2,157,44,2026-03-01
8,2,3,109,70,2026-02-24
9,2,4,54,29,2026-03-06
10,2,5,206,44,2026-03-01
11,3,1,478,53,2026-03-09
12,3,2,107,56,2026-03-05
13,3,3,72,80,2026-02-12
14,3,4,39,100,2026-02-24
15,3,5,73,100,2026-03-01
16,4,1,170,61,2026-02-18
17,4,2,481,86,2026-03-07
18,4,3,397,71,2026-03-12
19,4,4,435,85,2026-03-03
20,4,5,264,53,2026-02-16
21,5,1,350,20,2026-02-28
22,5,2,6,89,2026-02-27
23,5,3,492,48,2026-02-22
24,5,4,475,52,2026-02-23
25,5,5,9,42,2026-03-04
26,6,1,184,63,2026-02-14
27,6,2,399,70,2026-03-10
28,6,3,154,97,2026-02-16
29,6,4,259,84,2026-03-06
30,6,5,245,20,2026-03-11
31,7,1,28,32,2026-03-07
32,7,2,305,51,2026-02-14
33,7,3,180,87,2026-03-01
34,7,4,444,72,2026-02-11
35,7,5,417,78,2026-02-11
36,8,1,333,41,2026-02-27
37,8,2,79,86,2026-03-12
38,8,3,105,35,2026-03-12
39,8,4,342,88,2026-02-20
40,8,5,485,41,2026-03-01
41,9,1,34,61,2026-02-15
42,9,2,339,22,2026-02-13
43,9,3,327,28,2026-02-24
44,9,4,221,35,2026-03-12
45,9,5,29,57,2026-03-01
46,10,1,363,46,2026-02-17
47,10,2,194,47,2026-02-15
48,10,3,50,49,2026-02-23
49,10,4,362,46,2026-02-26
50,10,5,458,71,2026-03-08
51,11,1,392,62,2026-02-20
52,11,2,339,46,2026-03-08
53,11,3,275,99,2026-03-10
54,11,4,487,51,2026-02-22
55,11,5,257,62,2026-03-11
56,12,1,260,48,2026-03-07
57,12,2,55,57,2026-02-25
58,12,3,121,68,2026-02-27
59,12,4,221,80,2026-02-23
60,12,5,414,27,2026-02-14
61,13,1,22,81,2026-02-20
62,13,2,303,23,2026-02-21
63,13,3,452,84,2026-02-18
64,13,4,95,30,2026-03-04
65,13,5,226,38,2026-02-18
66,14,1,362,85,2026-03-06
67,14,2,155,55,2026-03-03
68,14,3,475,36,2026-03-04
69,14,4,110,35,2026-02-28
70,14,5,265,50,2026-02-15
71,15,1,231,85,2026-02-24
72,15,2,194,81,2026-02-16
73,15,3,265,75,2026-02-11
74,15,4,214,48,2026-03-02
75,15,5,14,34,2026-02-11
76,16,1,419,87,2026-02-27
77,16,2,342,51,2026-02-14
78,16,3,334,34,2026-02-25
79,16,4,80,40,2026-02-24
80,16,5,489,77,2026-03-02
81,17,1,381,72,2026-02-12
82,17,2,417,69,2026-02-14
83,17,3,271,40,2026-02-16
84,17,4,358,92,2026-02-27
85,17,5,190,80,2026-02-11
86,18,1,424,39,2026-02-27
87,18,2,261,32,2026-02-21
88,18,3,166,76,2026-03-08
89,18,4,40,100,2026-03-07
90,18,5,447,85,2026-03-01
91,19,1,371,45,2026-03-05
92,19,2,149,60,2026-03-04
93,19,3,73,79,2026-02-13
94,19,4,179,89,2026-02-24
95,19,5,412,22,2026-03-06
96,20,1,300,48,2026-03-09
97,20,2,474,41,2026-03-03
98,20,3,249,54,2026-02-12
99,20,4,364,95,2026-02-17
100,20,5,65,82,2026-03-01
101,21,1,68,71,2026-02-15
102,21,2,390,59,2026-02-24
103,21,3,221,45,2026-03-01
104,21,4,460,48,2026-02-15
105,21,5,181,70,2026-02-28
106,22,1,115,30,2026-02-18
107,22,2,116,46,2026-03-11
108,22,3,91,39,2026-03-10
109,22,4,322,98,2026-03-07
110,22,5,297,25,2026-02-18
111,23,1,9,89,2026-03-05
112,23,2,311,33,2026-02-12
113,23,3,245,46,2026-02-19
114,23,4,223,88,2026-02-25
115,23,5,349,73,2026-02-20
116,24,1,290,60,2026-03-01
117,24,2,481,64,2026-02-14
118,24,3,173,67,2026-03-09
119,24,4,310,89,2026-02-28
120,24,5,418,23,2026-03-06
121,25,1,354,61,2026-03-05
122,25,2,478,81,2026-02-28
123,25,3,311,84,2026-02-13
124,25,4,152,54,2026-03-12
125,25,5,439,61,2026-02-22
126,26,1,384,86,2026-03-07
127,26,2,319,58,2026-02-16
128,26,3,41,66,2026-02-23
129,26,4,182,34,2026-02-18
130,26,5,429,28,2026-02-27
131,27,1,203,78,2026-03-01
132,27,2,341,45,2026-02-18
133,27,3,208,71,2026-03-06
134,27,4,36,57,2026-03-12
135,27,5,304,85,2026-03-02
136,28,1,254,88,2026-03-06
137,28,2,44,79,2026-03-03
138,28,3,109,98,2026-02-14
139,28,4,407,60,2026-03-03
140,28,5,49,34,2026-03-09
141,29,1,102,28,2026-02-19
142,29,2,143,58,2026-03-05
143,29,3,18,22,2026-02-27
144,29,4,356,35,2026-02-17
145,29,5,405,87,2026-02-16
146,30,1,434,34,2026-02-22
147,30,2,430,25,2026-02-26
148,30,3,327,54,2026-03-02
149,30,4,476,67,2026-02-20
150,30,5,292,23,2026-02-26
151,31,1,242,79,2026-03-11
152,31,2,294,53,2026-02-28
153,31,3,376,97,2026-02-14
154,31,4,140,42,2026-02-24
155,31,5,241,80,2026-02-27
156,32,1,203,44,2026-03-05
157,32,2,192,62,2026-02-15
158,32,3,136,83,2026-02-21
159,32,4,67,96,2026-02-19
160,32,5,349,23,2026-02-11
161,33,1,245,21,2026-02-24
162,33,2,484,85,2026-02-23
163,33,3,49,50,2026-03-04
164,33,4,211,92,2026-03-03
165,33,5,158,23,2026-03-02
166,34,1,423,21,2026-02-24
167,34,2,452,99,2026-03-09
168,34,3,367,93,2026-02-21
169,34,4,198,23,2026-02-21
170,34,5,131,83,2026-02-21
171,35,1,168,54,2026-03-12
172,35,2,315,53,2026-02-25
173,35,3,164,39,2026-02-17
174,35,4,337,53,2026-03-07
175,35,5,291,39,2026-02-26
176,36,1,461,83,2026-02-27
177,36,2,344,99,2026-02-13
178,36,3,82,63,2026-02-21
179,36,4,321,46,2026-02-17
180,36,5,5,23,2026-03-01
181,37,1,325,23,2026-02-19
182,37,2,407,40,2026-02-13
183,37,3,449,47,2026-02-11
184,37,4,176,42,2026-03-04
185,37,5,209,26,2026-03-06
186,38,1,338,31,2026-02-19
187,38,2,171,99,2026-02-13
188,38,3,499,21,2026-03-01
189,38,4,33,49,2026-02-14
190,38,5,216,32,2026-03-05
191,39,1,33,70,2026-02-23
192,39,2,178,79,2026-02-19
193,39,3,178,87,2026-02-25
194,39,4,392,78,2026-03-05
195,39,5,3,67,2026-02-18
196,40,1,271,93,2026-02-21
197,40,2,231,75,2026-02-28
198,40,3,224,77,2026-03-12
199,40,4,28,67,2026-03-07
200,40,5,17,82,2026-02-23
201,41,1,236,39,2026-03-10
202,41,2,366,88,2026-03-07
203,41,3,427,68,2026-02-17
204,41,4,87,40,2026-03-06
205,41,5,271,29,2026-02-17
206,42,1,187,86,2026-02-23
207,42,2,317,54,2026-02-27
208,42,3,193,64,2026-03-04
209,42,4,464,69,2026-02-14
210,42,5,362,55,2026-02-27
211,43,1,302,66,2026-03-03
212,43,2,246,90,2026-03-06
213,43,3,316,65,2026-03-03
214,43,4,479,99,2026-02-12
215,43,5,56,50,2026-03-08
216,44,1,69,37,2026-03-11
217,44,2,471,94,2026-03-02
218,44,3,240,64,2026-03-09
219,44,4,222,39,2026-02-15
220,44,5,190,62,2026-02-21
221,45,1,65,26,2026-02-21
222,45,2,478,90,2026-02-19
223,45,3,113,94,2026-03-08
224,45,4,49,89,2026-02-14
225,45,5,54,88,2026-02-25
226,46,1,422,51,2026-02-22
227,46,2,246,98,2026-02-13
228,46,3,260,24,2026-03-03
229,46,4,185,82,2026-02-22
230,46,5,340,76,2026-02-19
231,47,1,341,58,2026-03-03
232,47,2,393,44,2026-02-14
233,47,3,361,53,2026-03-05
234,47,4,194,82,2026-02-27
235,47,5,72,68,2026-02-18
236,48,1,230,39,2026-03-03
237,48,2,220,34,2026-02-12
238,48,3,428,99,2026-03-01
239,48,4,462,51,2026-02-26
240,48,5,98,38,2026-03-10
241,49,1,405,61,2026-02-26
242,49,2,218,73,2026-02-28
243,49,3,196,53,2026-02-13
244,49,4,201,34,2026-02-17
245,49,5,145,98,2026-03-11
246,50,1,343,50,2026-02-24
247,50,2,163,93,2026-02-26
248,50,3,412,94,2026-03-05
249,50,4,347,58,2026-02-24
250,50,5,420,26,2026-02-23
251,51,1,383,79,2026-03-06
252,51,2,425,56,2026-02-22
253,51,3,80,75,2026-02-15
254,51,4,327,50,2026-03-04
255,51,5,213,21,2026-03-08
256,52,1,9,72,2026-03-04
257,52,2,282,79,2026-02-22
258,52,3,115,63,2026-02-28
259,52,4,164,54,2026-02-14
260,52,5,183,55,2026-03-05
261,53,1,473,100,2026-02-19
262,53,2,417,42,2026-03-05
263,53,3,268,51,2026-02-15
264,53,4,333,99,2026-02-12
265,53,5,320,81,2026-02-27
266,54,1,353,97,2026-03-12
267,54,2,197,99,2026-02-28
268,54,3,481,29,2026-02-26
269,54,4,32,100,2026-03-02
270,54,5,494,92,2026-03-05
271,55,1,476,39,2026-02-15
272,55,2,424,68,2026-03-07
273,55,3,287,70,2026-03-02
274,55,4,193,42,2026-03-05
275,55,5,356,44,2026-02-17
276,56,1,217,45,2026-02-27
277,56,2,111,75,2026-03-04
278,56,3,333,71,2026-02-20
279,56,4,374,34,2026-02-17
280,56,5,376,28,2026-03-10
281,57,1,257,97,2026-02-18
282,57,2,239,67,2026-03-03
283,57,3,478,89,2026-02-14
284,57,4,110,50,2026-02-14
285,57,5,339,74,2026-03-02
286,58,1,388,51,2026-03-06
287,58,2,367,23,2026-02-26
288,58,3,487,58,2026-03-11
289,58,4,40,22,2026-02-23
290,58,5,26,63,2026-02-27
291,59,1,213,82,2026-02-25
292,59,2,101,63,2026-02-18
293,59,3,4,20,2026-03-05
294,59,4,291,83,2026-03-03
295,59,5,461,76,2026-03-05
296,60,1,247,68,2026-02-20
297,60,2,21,88,2026-02-24
